file,bytes,MB,MiB,time,tp,filter,dir_mem,iter,blocksize,transfersize,size,operation,options,read_time,write_time,read_tp,write_tp,prefix,n,ppn,config,timesteps,sync_t,nproc,size
passthrough_fh-fuse-1-2000-1.txt,,,,0.656547,145.24,passthrough_fh,fuse,1,,,2000,read,ior,,,,,,,,,,,1,2000
passthrough_fh-fuse-1-2000-2.txt,,,,0.737766,258.49,passthrough_fh,fuse,1,,,2000,read,ior,,,,,,,,,,,2,2000
passthrough_fh-fuse-1-5000-1.txt,,,,0.696081,342.46,passthrough_fh,fuse,1,,,5000,read,ior,,,,,,,,,,,1,5000
passthrough_fh-fuse-1-5000-2.txt,,,,0.926597,514.53,passthrough_fh,fuse,1,,,5000,read,ior,,,,,,,,,,,2,5000
passthrough_fh-fuse-2-2000-1.txt,,,,0.695875,137.03,passthrough_fh,fuse,2,,,2000,read,ior,,,,,,,,,,,1,2000
passthrough_fh-fuse-2-2000-2.txt,,,,0.753904,252.96,passthrough_fh,fuse,2,,,2000,read,ior,,,,,,,,,,,2,2000
passthrough_fh-fuse-2-5000-1.txt,,,,0.746520,319.32,passthrough_fh,fuse,2,,,5000,read,ior,,,,,,,,,,,1,5000
passthrough_fh-fuse-2-5000-2.txt,,,,0.920880,517.75,passthrough_fh,fuse,2,,,5000,read,ior,,,,,,,,,,,2,5000
passthrough_fh-tmpfs-1-2000-1.txt,,,,0.062886,1516.28,passthrough_fh,tmpfs,1,,,2000,read,ior,,,,,,,,,,,1,2000
passthrough_fh-tmpfs-1-2000-2.txt,,,,0.081663,2335.39,passthrough_fh,tmpfs,1,,,2000,read,ior,,,,,,,,,,,2,2000
passthrough_fh-tmpfs-1-5000-1.txt,,,,0.082974,2873.06,passthrough_fh,tmpfs,1,,,5000,read,ior,,,,,,,,,,,1,5000
passthrough_fh-tmpfs-1-5000-2.txt,,,,0.118288,4031,passthrough_fh,tmpfs,1,,,5000,read,ior,,,,,,,,,,,2,5000
passthrough_fh-tmpfs-2-2000-1.txt,,,,0.066376,1436.59,passthrough_fh,tmpfs,2,,,2000,read,ior,,,,,,,,,,,1,2000
passthrough_fh-tmpfs-2-2000-2.txt,,,,0.094114,2026.45,passthrough_fh,tmpfs,2,,,2000,read,ior,,,,,,,,,,,2,2000
passthrough_fh-tmpfs-2-5000-1.txt,,,,0.080968,2944.26,passthrough_fh,tmpfs,2,,,5000,read,ior,,,,,,,,,,,1,5000
passthrough_fh-tmpfs-2-5000-2.txt,,,,0.112732,4229,passthrough_fh,tmpfs,2,,,5000,read,ior,,,,,,,,,,,2,5000
passthrough-fuse-1-2000-1.txt,,,,0.620022,153.80,passthrough,fuse,1,,,2000,read,ior,,,,,,,,,,,1,2000
passthrough-fuse-1-2000-2.txt,,,,0.661357,288.35,passthrough,fuse,1,,,2000,read,ior,,,,,,,,,,,2,2000
passthrough-fuse-1-5000-1.txt,,,,0.693723,343.62,passthrough,fuse,1,,,5000,read,ior,,,,,,,,,,,1,5000
passthrough-fuse-1-5000-2.txt,,,,0.768638,620.27,passthrough,fuse,1,,,5000,read,ior,,,,,,,,,,,2,5000
passthrough-fuse-2-2000-1.txt,,,,0.653426,145.93,passthrough,fuse,2,,,2000,read,ior,,,,,,,,,,,1,2000
passthrough-fuse-2-2000-2.txt,,,,0.673985,282.95,passthrough,fuse,2,,,2000,read,ior,,,,,,,,,,,2,2000
passthrough-fuse-2-5000-1.txt,,,,0.663251,359.41,passthrough,fuse,2,,,5000,read,ior,,,,,,,,,,,1,5000
passthrough-fuse-2-5000-2.txt,,,,0.765725,622.66,passthrough,fuse,2,,,5000,read,ior,,,,,,,,,,,2,5000
passthrough_ll-fuse-1-2000-1.txt,,,,0.096497,987.47,passthrough_ll,fuse,1,,,2000,read,ior,,,,,,,,,,,1,2000
passthrough_ll-fuse-1-2000-2.txt,,,,0.243052,784.53,passthrough_ll,fuse,1,,,2000,read,ior,,,,,,,,,,,2,2000
passthrough_ll-fuse-1-5000-1.txt,,,,0.165509,1439.69,passthrough_ll,fuse,1,,,5000,read,ior,,,,,,,,,,,1,5000
passthrough_ll-fuse-1-5000-2.txt,,,,0.590435,807.48,passthrough_ll,fuse,1,,,5000,read,ior,,,,,,,,,,,2,5000
passthrough_ll-fuse-2-2000-1.txt,,,,0.084279,1130.66,passthrough_ll,fuse,2,,,2000,read,ior,,,,,,,,,,,1,2000
passthrough_ll-fuse-2-2000-2.txt,,,,0.256252,744.12,passthrough_ll,fuse,2,,,2000,read,ior,,,,,,,,,,,2,2000
passthrough_ll-fuse-2-5000-1.txt,,,,0.180072,1323.38,passthrough_ll,fuse,2,,,5000,read,ior,,,,,,,,,,,1,5000
passthrough_ll-fuse-2-5000-2.txt,,,,0.457538,1041.98,passthrough_ll,fuse,2,,,5000,read,ior,,,,,,,,,,,2,5000
passthrough_ll-tmpfs-1-2000-1.txt,,,,0.068614,1389.75,passthrough_ll,tmpfs,1,,,2000,read,ior,,,,,,,,,,,1,2000
passthrough_ll-tmpfs-1-2000-2.txt,,,,0.079743,2391.63,passthrough_ll,tmpfs,1,,,2000,read,ior,,,,,,,,,,,2,2000
passthrough_ll-tmpfs-1-5000-1.txt,,,,0.088406,2696.47,passthrough_ll,tmpfs,1,,,5000,read,ior,,,,,,,,,,,1,5000
passthrough_ll-tmpfs-1-5000-2.txt,,,,0.092920,5131,passthrough_ll,tmpfs,1,,,5000,read,ior,,,,,,,,,,,2,5000
passthrough_ll-tmpfs-2-2000-1.txt,,,,0.065152,1463.55,passthrough_ll,tmpfs,2,,,2000,read,ior,,,,,,,,,,,1,2000
passthrough_ll-tmpfs-2-2000-2.txt,,,,0.089581,2128.95,passthrough_ll,tmpfs,2,,,2000,read,ior,,,,,,,,,,,2,2000
passthrough_ll-tmpfs-2-5000-1.txt,,,,0.087373,2728.40,passthrough_ll,tmpfs,2,,,5000,read,ior,,,,,,,,,,,1,5000
passthrough_ll-tmpfs-2-5000-2.txt,,,,0.114635,4159,passthrough_ll,tmpfs,2,,,5000,read,ior,,,,,,,,,,,2,5000
passthrough-tmpfs-1-2000-1.txt,,,,0.066120,1441.92,passthrough,tmpfs,1,,,2000,read,ior,,,,,,,,,,,1,2000
passthrough-tmpfs-1-2000-2.txt,,,,0.069929,2726.76,passthrough,tmpfs,1,,,2000,read,ior,,,,,,,,,,,2,2000
passthrough-tmpfs-1-5000-1.txt,,,,0.084543,2819.85,passthrough,tmpfs,1,,,5000,read,ior,,,,,,,,,,,1,5000
passthrough-tmpfs-1-5000-2.txt,,,,0.100006,4768,passthrough,tmpfs,1,,,5000,read,ior,,,,,,,,,,,2,5000
passthrough-tmpfs-2-2000-1.txt,,,,0.063985,1490.00,passthrough,tmpfs,2,,,2000,read,ior,,,,,,,,,,,1,2000
passthrough-tmpfs-2-2000-2.txt,,,,0.073932,2579.58,passthrough,tmpfs,2,,,2000,read,ior,,,,,,,,,,,2,2000
passthrough-tmpfs-2-5000-1.txt,,,,0.079985,2980.05,passthrough,tmpfs,2,,,5000,read,ior,,,,,,,,,,,1,5000
passthrough-tmpfs-2-5000-2.txt,,,,0.119820,3979,passthrough,tmpfs,2,,,5000,read,ior,,,,,,,,,,,2,5000
passthrough_fh-fuse-1-2000-1.txt,,,,1.36,70.27,passthrough_fh,fuse,1,,,2000,write,ior,,,,,,,,,,,1,2000
passthrough_fh-fuse-1-2000-2.txt,,,,2.54,75.00,passthrough_fh,fuse,1,,,2000,write,ior,,,,,,,,,,,2,2000
passthrough_fh-fuse-1-5000-1.txt,,,,1.42,168.26,passthrough_fh,fuse,1,,,5000,write,ior,,,,,,,,,,,1,5000
passthrough_fh-fuse-1-5000-2.txt,,,,2.95,161.58,passthrough_fh,fuse,1,,,5000,write,ior,,,,,,,,,,,2,5000
passthrough_fh-fuse-2-2000-1.txt,,,,1.37,69.60,passthrough_fh,fuse,2,,,2000,write,ior,,,,,,,,,,,1,2000
passthrough_fh-fuse-2-2000-2.txt,,,,2.90,65.87,passthrough_fh,fuse,2,,,2000,write,ior,,,,,,,,,,,2,2000
passthrough_fh-fuse-2-5000-1.txt,,,,1.32,180.41,passthrough_fh,fuse,2,,,5000,write,ior,,,,,,,,,,,1,5000
passthrough_fh-fuse-2-5000-2.txt,,,,3.25,146.50,passthrough_fh,fuse,2,,,5000,write,ior,,,,,,,,,,,2,5000
passthrough_fh-tmpfs-1-2000-1.txt,,,,0.080222,1188.60,passthrough_fh,tmpfs,1,,,2000,write,ior,,,,,,,,,,,1,2000
passthrough_fh-tmpfs-1-2000-2.txt,,,,0.114186,1670.22,passthrough_fh,tmpfs,1,,,2000,write,ior,,,,,,,,,,,2,2000
passthrough_fh-tmpfs-1-5000-1.txt,,,,0.109668,2173.75,passthrough_fh,tmpfs,1,,,5000,write,ior,,,,,,,,,,,1,5000
passthrough_fh-tmpfs-1-5000-2.txt,,,,0.176153,2706.77,passthrough_fh,tmpfs,1,,,5000,write,ior,,,,,,,,,,,2,5000
passthrough_fh-tmpfs-2-2000-1.txt,,,,0.083393,1143.37,passthrough_fh,tmpfs,2,,,2000,write,ior,,,,,,,,,,,1,2000
passthrough_fh-tmpfs-2-2000-2.txt,,,,0.112707,1692.09,passthrough_fh,tmpfs,2,,,2000,write,ior,,,,,,,,,,,2,2000
passthrough_fh-tmpfs-2-5000-1.txt,,,,0.107811,2211.15,passthrough_fh,tmpfs,2,,,5000,write,ior,,,,,,,,,,,1,5000
passthrough_fh-tmpfs-2-5000-2.txt,,,,0.170768,2792.13,passthrough_fh,tmpfs,2,,,5000,write,ior,,,,,,,,,,,2,5000
passthrough-fuse-1-2000-1.txt,,,,1.11,85.70,passthrough,fuse,1,,,2000,write,ior,,,,,,,,,,,1,2000
passthrough-fuse-1-2000-2.txt,,,,2.31,82.72,passthrough,fuse,1,,,2000,write,ior,,,,,,,,,,,2,2000
passthrough-fuse-1-5000-1.txt,,,,1.22,195.67,passthrough,fuse,1,,,5000,write,ior,,,,,,,,,,,1,5000
passthrough-fuse-1-5000-2.txt,,,,2.65,179.65,passthrough,fuse,1,,,5000,write,ior,,,,,,,,,,,2,5000
passthrough-fuse-2-2000-1.txt,,,,1.19,80.23,passthrough,fuse,2,,,2000,write,ior,,,,,,,,,,,1,2000
passthrough-fuse-2-2000-2.txt,,,,2.56,74.43,passthrough,fuse,2,,,2000,write,ior,,,,,,,,,,,2,2000
passthrough-fuse-2-5000-1.txt,,,,1.21,196.42,passthrough,fuse,2,,,5000,write,ior,,,,,,,,,,,1,5000
passthrough-fuse-2-5000-2.txt,,,,2.88,165.50,passthrough,fuse,2,,,5000,write,ior,,,,,,,,,,,2,5000
passthrough_ll-fuse-1-2000-1.txt,,,,0.658732,144.76,passthrough_ll,fuse,1,,,2000,write,ior,,,,,,,,,,,1,2000
passthrough_ll-fuse-1-2000-2.txt,,,,1.42,134.75,passthrough_ll,fuse,1,,,2000,write,ior,,,,,,,,,,,2,2000
passthrough_ll-fuse-1-5000-1.txt,,,,0.754237,316.05,passthrough_ll,fuse,1,,,5000,write,ior,,,,,,,,,,,1,5000
passthrough_ll-fuse-1-5000-2.txt,,,,1.73,276.23,passthrough_ll,fuse,1,,,5000,write,ior,,,,,,,,,,,2,5000
passthrough_ll-fuse-2-2000-1.txt,,,,0.701999,135.83,passthrough_ll,fuse,2,,,2000,write,ior,,,,,,,,,,,1,2000
passthrough_ll-fuse-2-2000-2.txt,,,,1.57,121.68,passthrough_ll,fuse,2,,,2000,write,ior,,,,,,,,,,,2,2000
passthrough_ll-fuse-2-5000-1.txt,,,,0.830446,287.06,passthrough_ll,fuse,2,,,5000,write,ior,,,,,,,,,,,1,5000
passthrough_ll-fuse-2-5000-2.txt,,,,1.75,272.01,passthrough_ll,fuse,2,,,5000,write,ior,,,,,,,,,,,2,5000
passthrough_ll-tmpfs-1-2000-1.txt,,,,0.088768,1074.20,passthrough_ll,tmpfs,1,,,2000,write,ior,,,,,,,,,,,1,2000
passthrough_ll-tmpfs-1-2000-2.txt,,,,0.120741,1579.54,passthrough_ll,tmpfs,1,,,2000,write,ior,,,,,,,,,,,2,2000
passthrough_ll-tmpfs-1-5000-1.txt,,,,0.117856,2022.69,passthrough_ll,tmpfs,1,,,5000,write,ior,,,,,,,,,,,1,5000
passthrough_ll-tmpfs-1-5000-2.txt,,,,0.159984,2980.28,passthrough_ll,tmpfs,1,,,5000,write,ior,,,,,,,,,,,2,5000
passthrough_ll-tmpfs-2-2000-1.txt,,,,0.084473,1128.76,passthrough_ll,tmpfs,2,,,2000,write,ior,,,,,,,,,,,1,2000
passthrough_ll-tmpfs-2-2000-2.txt,,,,0.135395,1408.59,passthrough_ll,tmpfs,2,,,2000,write,ior,,,,,,,,,,,2,2000
passthrough_ll-tmpfs-2-5000-1.txt,,,,0.117173,2034.50,passthrough_ll,tmpfs,2,,,5000,write,ior,,,,,,,,,,,1,5000
passthrough_ll-tmpfs-2-5000-2.txt,,,,0.169455,2813.67,passthrough_ll,tmpfs,2,,,5000,write,ior,,,,,,,,,,,2,5000
passthrough-tmpfs-1-2000-1.txt,,,,0.093334,1021.61,passthrough,tmpfs,1,,,2000,write,ior,,,,,,,,,,,1,2000
passthrough-tmpfs-1-2000-2.txt,,,,0.107008,1782.23,passthrough,tmpfs,1,,,2000,write,ior,,,,,,,,,,,2,2000
passthrough-tmpfs-1-5000-1.txt,,,,0.112501,2118.99,passthrough,tmpfs,1,,,5000,write,ior,,,,,,,,,,,1,5000
passthrough-tmpfs-1-5000-2.txt,,,,0.156170,3053.03,passthrough,tmpfs,1,,,5000,write,ior,,,,,,,,,,,2,5000
passthrough-tmpfs-2-2000-1.txt,,,,0.082629,1153.97,passthrough,tmpfs,2,,,2000,write,ior,,,,,,,,,,,1,2000
passthrough-tmpfs-2-2000-2.txt,,,,0.106868,1784.50,passthrough,tmpfs,2,,,2000,write,ior,,,,,,,,,,,2,2000
passthrough-tmpfs-2-5000-1.txt,,,,0.112393,2120.86,passthrough,tmpfs,2,,,5000,write,ior,,,,,,,,,,,1,5000
passthrough-tmpfs-2-5000-2.txt,,,,0.183309,2601.05,passthrough,tmpfs,2,,,5000,write,ior,,,,,,,,,,,2,5000
